"IdConexao","NomeCliente","Site","UrlSite","WebServicePagamentoBPag","DominioPagamentoBPag"
108,"Napsao-webstore7","134.25.44",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
109,"Napsao-webstore8","134.25.45",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
110,"Napsao-webstore9","134.25.46",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
111,"Napsao-webstore10","134.25.47",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
112,"Napsao-webstore11","134.25.48",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
113,"Napsao-webstore12","134.25.49",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
114,"Napsao-webstore13","134.25.50",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
115,"Napsao-webstore14","134.25.51",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
116,"Napsao-webstore15","134.25.52",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
117,"Napsao-webstore16","134.25.53",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
118,"Napsao-webstore17","134.25.54",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
119,"Napsao-webstore18","134.25.55",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
120,"Napsao-webstore19","134.25.56",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
121,"Napsao-webstore20","134.25.57",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
122,"Napsao-webstore21","134.25.58",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
123,"Napsao-webstore22","134.25.59",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
124,"Napsao-webstore23","134.25.60",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
125,"Napsao-webstore24","134.25.61",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
126,"Napsao-webstore25","134.25.62",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
127,"Napsao-webstore26","134.25.63",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
128,"Napsao-webstore27","134.25.64",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
129,"Napsao-webstore28","134.25.65",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
130,"Napsao-webstore29","134.25.66",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
131,"Napsao-webstore30","134.25.67",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
